# packages in environment at /home/kangyuhan/miniforge3/envs/ABNet:
#
# Name                    Version                   Build  Channel
mkl_random                1.2.2           py311hba01205_0    defaults
mpc                       1.1.0                h10f8cd9_1    defaults
mpfr                      4.0.2                hb69a4c5_1    defaults
mpmath                    1.3.0           py311h06a4308_0    defaults
ncurses                   6.5                  he02047a_1    conda-forge
nettle                    3.7.3                hbbd107a_1    defaults
networkx                  3.3             py311h06a4308_0    defaults
numexpr                   2.8.4           py311h802d673_0    defaults
numpy                     1.24.3          py311hc206e33_0    defaults
numpy-base                1.24.3          py311hfd5febd_0    defaults
opencv-python             4.8.1.78                 pypi_0    pypi
openh264                  2.1.1                h4ff587b_0    defaults
openjpeg                  2.5.2                he7f1fd0_0    defaults
openssl                   3.0.15               h5eee18b_0    defaults
orjson                    3.10.7          py311h97a8848_0    defaults
p11-kit                   0.24.1               hc5aa10d_0    conda-forge
packaging                 24.2            py311h06a4308_0    defaults
pandas                    2.2.3           py311h6a678d5_0    defaults
pillow                    9.4.0           py311h50def17_1    conda-forge
pip                       24.2            py311h06a4308_0    defaults
pydantic                  2.10.3          py311h06a4308_0    defaults
pydantic-core             2.27.1          py311h4aa5aa6_0    defaults
pydub                     0.25.1             pyhd8ed1ab_1    conda-forge
pygments                  2.15.1          py311h06a4308_1    defaults
pyparsing                 3.2.0           py311h06a4308_0    defaults
pysocks                   1.7.1           py311h06a4308_0    defaults
python                    3.11.11              he870216_0    defaults
python-dateutil           2.9.0post0      py311h06a4308_2    defaults
python-multipart          0.0.9           py311h06a4308_0    defaults
python-tzdata             2023.3             pyhd3eb1b0_0    defaults
python_abi                3.11                    2_cp311    conda-forge
pytorch                   2.5.1           py3.11_cuda12.1_cudnn9.1.0_0    pytorch
pytorch-cuda              12.1                 ha16c6d3_6    pytorch
pytorch-mutex             1.0                        cuda    pytorch
pytz                      2024.1          py311h06a4308_0    defaults
pyyaml                    6.0.2           py311h5eee18b_0    defaults
readline                  8.2                  h5eee18b_0    defaults
requests                  2.32.3          py311h06a4308_1    defaults
rich                      13.9.4          py311h06a4308_0    defaults
ruff                      0.3.5           py311hd5b0f32_1    defaults
semantic_version          2.8.5              pyhd3eb1b0_0    defaults
setuptools                75.1.0          py311h06a4308_0    defaults
shellingham               1.5.0           py311h06a4308_0    defaults
six                       1.16.0             pyhd3eb1b0_1    defaults
sniffio                   1.3.0           py311h06a4308_0    defaults
sqlite                    3.45.3               h5eee18b_0    defaults
starlette                 0.38.2          py311h06a4308_0    defaults
svt-av1                   1.4.1                hcb278e6_0    conda-forge
sympy                     1.13.3          py311h06a4308_0    defaults
sysroot_linux-64          2.17                h57e8cba_10    defaults
tbb                       2021.8.0             hdb19cb5_0    defaults
tk                        8.6.14               h39e8969_0    defaults
tomlkit                   0.12.0             pyha770c72_0    conda-forge
torchaudio                2.5.1               py311_cu121    pytorch
torchtriton               3.1.0                     py311    pytorch
torchvision               0.20.1              py311_cu121    pytorch
tqdm                      4.66.5          py311h92b7b1e_0    defaults
typer                     0.15.1             pyhd8ed1ab_0    conda-forge
typer-slim                0.15.1             pyhd8ed1ab_0    conda-forge
typer-slim-standard       0.15.1               hd8ed1ab_0    conda-forge
typing-extensions         4.12.2          py311h06a4308_0    defaults
typing_extensions         4.12.2          py311h06a4308_0    defaults
tzdata                    2024b                h04d1e81_0    defaults
unicodedata2              15.1.0          py311h5eee18b_1    defaults
urllib3                   2.2.3           py311h06a4308_0    defaults
uvicorn                   0.32.1          py311h06a4308_0    defaults
websockets                10.4            py311h5eee18b_2    defaults
wheel                     0.44.0          py311h06a4308_0    defaults
x264                      1!164.3095           h166bdaf_2    conda-forge
x265                      3.5                  h924138e_3    conda-forge
xorg-fixesproto           5.0               hb9d3cd8_1003    conda-forge
xorg-kbproto              1.0.7             hb9d3cd8_1003    conda-forge
xorg-libx11               1.8.4                h0b41bf4_0    conda-forge
xorg-libxext              1.3.4                h0b41bf4_2    conda-forge
xorg-libxfixes            5.0.3             h7f98852_1004    conda-forge
xorg-xextproto            7.3.0             hb9d3cd8_1004    conda-forge
xorg-xproto               7.0.31            h27cfd23_1007    defaults
xz                        5.4.6                h5eee18b_1    defaults
yaml                      0.2.5                h7b6447c_0    defaults
zipp                      3.21.0          py311h06a4308_0    defaults
zlib                      1.2.13               h4ab18f5_6    conda-forge
zstd                      1.5.6                ha6fb4c9_0    conda-forge
